,,http://www.scottishairquality.scot/data/emissions,,,,,
,,,,,,,
Year,Local Authority Area,Registered Company Name (Site Name),Site Company Name,Industry Sector,Pollutant Name,Total Emission,Return Availability
2018,Aberdeen City,Kelda Water Services (Grampian) Ltd. Persley STW Persley Aberdeen,Laurel Drive Persley Aberdeen Aberdeenshire AB22 8AQ,5(f).i,Carbon dioxide,-,Not Yet Submitted
2018,Aberdeen City,Kelda Water Services (Grampian) Ltd. Persley STW Persley Aberdeen,Laurel Drive Persley Aberdeen Aberdeenshire AB22 8AQ,5(f).i,Methane,-,Not Yet Submitted
2018,Aberdeenshire,Scottish Water. Inverurie (New) STW Keithhall Rd Inverurie,Keithhall Road The Stanners Inverurie Aberdeenshire AB51 0LU,5(f).i,Methane,-,Not Yet Submitted
2018,Aberdeen City,Suez Recycling & Recovery North East Ltd. Hill of Tramaud Landfill Harehill Aberdeen,Harehill Bridge of Don Aberdeen Aberdeenshire AB23 8BQ,5(d),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,5(a),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,5(a),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,5(a),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Inverboyndie Transfer Station Inverboyndie,INVERBOYNDIE TRANSTER STATION INVERBOYNDIE ,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Inverboyndie Transfer Station Inverboyndie,INVERBOYNDIE TRANSTER STATION INVERBOYNDIE ,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Inverboyndie Transfer Station Inverboyndie,INVERBOYNDIE TRANSTER STATION INVERBOYNDIE ,5(a),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Inverboyndie Transfer Station Inverboyndie,INVERBOYNDIE TRANSTER STATION INVERBOYNDIE ,5(a),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Inverboyndie Transfer Station Inverboyndie,INVERBOYNDIE TRANSTER STATION INVERBOYNDIE ,5(a),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Inverboyndie Transfer Station Inverboyndie,INVERBOYNDIE TRANSTER STATION INVERBOYNDIE ,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Kirkhill Waste Transfer Station,Kininmonth Mintlaw Peterhead Aberdeenshire AB42 4HY,5(c),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Kirkhill Waste Transfer Station,Kininmonth Mintlaw Peterhead Aberdeenshire AB42 4HY,5(c),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Kirkhill Waste Transfer Station,Kininmonth Mintlaw Peterhead Aberdeenshire AB42 4HY,5(c),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Kirkhill Waste Transfer Station,Kininmonth Mintlaw Peterhead Aberdeenshire AB42 4HY,5(c),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Aberdeenshire Council. Kirkhill Waste Transfer Station,Kininmonth Mintlaw Peterhead Aberdeenshire AB42 4HY,5(c),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,5(a),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,5(a),Methane,-,Not Yet Submitted
2018,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,5(a),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,William Laird & Co. Whitecairns Farm New Deer Turriff,Whitecairns New Deer Turriff Aberdeenahire AB53 6UU,7(a).ii,Methane,-,Not Yet Submitted
2018,Aberdeenshire,C J Grant & Partner Limited. Little Skillymarno Poultry Facility Strichen,Little Skillymarno Strichen Aberdeenshire AB43 6TD,7(a).i,Methane,-,Not Yet Submitted
2018,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,5(a),Carbon dioxide,-,Not Yet Submitted
2018,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,5(a),Nitrous oxide,-,Not Yet Submitted
2018,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,5(a),Sulphur hexafluoride,-,Not Yet Submitted
2018,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,5(a),Methane,-,Not Yet Submitted
2018,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,5(a),Hydrofluorocarbons (HFCs),-,Not Yet Submitted
2018,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,5(a),Perfluorocarbons (PFCs),-,Not Yet Submitted
2018,Aberdeenshire,GILLS PARTNERSHIP. Mains of Benholm Poultry Farm Montrose,MAINS OF BENHOLM BENHOLM MONTROSE DD10 0HX,7(a).i,Methane,-,Not Yet Submitted
2018,Aberdeenshire,R & H Hay. Newstead Cuminestown Turriff,Newstead Cuminestown Turriff AB53 5YY,7(a).i,Methane,-,Not Yet Submitted
